"period","zone","group","measure","value"
"2013-2015","S01008650","Current Smoker","Ratio","3.03"
"2012-2014","S01008650","Never Smoked","Ratio",80
"2013-2015","S01008650","Never Smoked","Ratio","75.76"
"2013-2015","S01008728","Former Smoker","Count",4
"2012-2014","S01008728","Former Smoker","Count",3
"2013-2015","S01008728","Never Smoked","Count",8
"2012-2014","S01008728","Never Smoked","Count",8
"2012-2014","S01008728","Not Known If Smoking","Count",0
"2013-2015","S01008728","Not Known If Smoking","Count",0
"2012-2014","S01008728","Current Smoker","Count",1
"2013-2015","S01008728","Current Smoker","Count",1
"2012-2014","S01008728","Current Smoker","Ratio","8.33"
"2012-2014","S01008728","Not Known If Smoking","Ratio",0
"2013-2015","S01008728","Former Smoker","Ratio","30.77"
"2012-2014","S01008728","Former Smoker","Ratio",25
"2013-2015","S01008728","Not Known If Smoking","Ratio",0
"2013-2015","S01008728","Current Smoker","Ratio","7.69"
"2012-2014","S01008728","Never Smoked","Ratio","66.67"
"2013-2015","S01008728","Never Smoked","Ratio","61.54"
"2013-2015","S01008729","Former Smoker","Count",3
"2012-2014","S01008729","Former Smoker","Count",2
"2013-2015","S01008729","Never Smoked","Count",11
"2012-2014","S01008729","Never Smoked","Count",10
"2012-2014","S01008729","Not Known If Smoking","Count",1
"2013-2015","S01008729","Not Known If Smoking","Count",0
"2012-2014","S01008729","Current Smoker","Count",0
"2013-2015","S01008729","Current Smoker","Count",0
"2012-2014","S01008729","Current Smoker","Ratio",0
"2012-2014","S01008729","Not Known If Smoking","Ratio","7.69"
"2013-2015","S01008729","Former Smoker","Ratio","21.43"
"2012-2014","S01008729","Former Smoker","Ratio","15.38"
"2013-2015","S01008729","Not Known If Smoking","Ratio",0
"2013-2015","S01008729","Current Smoker","Ratio",0
"2012-2014","S01008729","Never Smoked","Ratio","76.92"
"2013-2015","S01008729","Never Smoked","Ratio","78.57"
"2013-2015","S01008730","Former Smoker","Count",15
"2012-2014","S01008730","Former Smoker","Count",15
"2013-2015","S01008730","Never Smoked","Count",19
"2012-2014","S01008730","Never Smoked","Count",22
"2012-2014","S01008730","Not Known If Smoking","Count",1
"2013-2015","S01008730","Not Known If Smoking","Count",2
"2012-2014","S01008730","Current Smoker","Count",6
"2013-2015","S01008730","Current Smoker","Count",5
"2012-2014","S01008730","Current Smoker","Ratio","13.64"
"2012-2014","S01008730","Not Known If Smoking","Ratio","2.27"
"2013-2015","S01008730","Former Smoker","Ratio","36.59"
"2012-2014","S01008730","Former Smoker","Ratio","34.09"
"2013-2015","S01008730","Not Known If Smoking","Ratio","4.88"
"2013-2015","S01008730","Current Smoker","Ratio","12.2"
"2012-2014","S01008730","Never Smoked","Ratio",50
"2013-2015","S01008730","Never Smoked","Ratio","46.34"
"2013-2015","S01008731","Former Smoker","Count",2
"2012-2014","S01008731","Former Smoker","Count",1
"2013-2015","S01008731","Never Smoked","Count",6
"2012-2014","S01008731","Never Smoked","Count",6
"2012-2014","S01008731","Not Known If Smoking","Count",0
"2013-2015","S01008731","Not Known If Smoking","Count",0
"2012-2014","S01008731","Current Smoker","Count",3
"2013-2015","S01008731","Current Smoker","Count",2
"2012-2014","S01008731","Current Smoker","Ratio",30
"2012-2014","S01008731","Not Known If Smoking","Ratio",0
"2013-2015","S01008731","Former Smoker","Ratio",20
"2012-2014","S01008731","Former Smoker","Ratio",10
"2013-2015","S01008731","Not Known If Smoking","Ratio",0
"2013-2015","S01008731","Current Smoker","Ratio",20
"2012-2014","S01008731","Never Smoked","Ratio",60
"2013-2015","S01008731","Never Smoked","Ratio",60
"2013-2015","S01008732","Former Smoker","Count",12
"2012-2014","S01008732","Former Smoker","Count",10
"2013-2015","S01008732","Never Smoked","Count",9
"2012-2014","S01008732","Never Smoked","Count",12
"2012-2014","S01008732","Not Known If Smoking","Count",0
"2013-2015","S01008732","Not Known If Smoking","Count",1
"2012-2014","S01008732","Current Smoker","Count",1
"2013-2015","S01008732","Current Smoker","Count",2
"2012-2014","S01008732","Current Smoker","Ratio","4.35"
"2012-2014","S01008732","Not Known If Smoking","Ratio",0
"2013-2015","S01008732","Former Smoker","Ratio",50
"2012-2014","S01008732","Former Smoker","Ratio","43.48"
"2013-2015","S01008732","Not Known If Smoking","Ratio","4.17"
"2013-2015","S01008732","Current Smoker","Ratio","8.33"
"2012-2014","S01008732","Never Smoked","Ratio","52.17"
"2013-2015","S01008732","Never Smoked","Ratio","37.5"
"2013-2015","S01008733","Former Smoker","Count",10
"2012-2014","S01008733","Former Smoker","Count",9
"2013-2015","S01008733","Never Smoked","Count",19
"2012-2014","S01008733","Never Smoked","Count",17
"2012-2014","S01008733","Not Known If Smoking","Count",1
"2013-2015","S01008733","Not Known If Smoking","Count",0
"2012-2014","S01008733","Current Smoker","Count",3
"2013-2015","S01008733","Current Smoker","Count",3
"2012-2014","S01008733","Current Smoker","Ratio",10
"2012-2014","S01008733","Not Known If Smoking","Ratio","3.33"
"2013-2015","S01008733","Former Smoker","Ratio","31.25"
"2012-2014","S01008733","Former Smoker","Ratio",30
"2013-2015","S01008733","Not Known If Smoking","Ratio",0
"2013-2015","S01008733","Current Smoker","Ratio","9.38"
"2012-2014","S01008733","Never Smoked","Ratio","56.67"
"2013-2015","S01008733","Never Smoked","Ratio","59.38"
"2013-2015","S01008595","Former Smoker","Count",3
"2012-2014","S01008595","Former Smoker","Count",6
"2013-2015","S01008595","Never Smoked","Count",17
"2012-2014","S01008595","Never Smoked","Count",15
"2012-2014","S01008595","Not Known If Smoking","Count",0
"2013-2015","S01008595","Not Known If Smoking","Count",0
"2012-2014","S01008595","Current Smoker","Count",3
"2013-2015","S01008595","Current Smoker","Count",4
"2012-2014","S01008595","Current Smoker","Ratio","12.5"
"2012-2014","S01008595","Not Known If Smoking","Ratio",0
"2013-2015","S01008595","Former Smoker","Ratio","12.5"
"2012-2014","S01008595","Former Smoker","Ratio",25
"2013-2015","S01008595","Not Known If Smoking","Ratio",0
"2013-2015","S01008595","Current Smoker","Ratio","16.67"
"2012-2014","S01008595","Never Smoked","Ratio","62.5"
"2013-2015","S01008595","Never Smoked","Ratio","70.83"
"2013-2015","S01008596","Former Smoker","Count",3
"2012-2014","S01008596","Former Smoker","Count",3
"2013-2015","S01008596","Never Smoked","Count",24
"2012-2014","S01008596","Never Smoked","Count",19
"2012-2014","S01008596","Not Known If Smoking","Count",0
"2013-2015","S01008596","Not Known If Smoking","Count",0
"2012-2014","S01008596","Current Smoker","Count",4
"2013-2015","S01008596","Current Smoker","Count",2
"2012-2014","S01008596","Current Smoker","Ratio","15.38"
"2012-2014","S01008596","Not Known If Smoking","Ratio",0
"2013-2015","S01008596","Former Smoker","Ratio","10.34"
"2012-2014","S01008596","Former Smoker","Ratio","11.54"
"2013-2015","S01008596","Not Known If Smoking","Ratio",0
"2013-2015","S01008596","Current Smoker","Ratio","6.9"
"2012-2014","S01008596","Never Smoked","Ratio","73.08"
"2013-2015","S01008596","Never Smoked","Ratio","82.76"
"2013-2015","S01008597","Former Smoker","Count",6
"2012-2014","S01008597","Former Smoker","Count",4
"2013-2015","S01008597","Never Smoked","Count",11
"2012-2014","S01008597","Never Smoked","Count",7
"2012-2014","S01008597","Not Known If Smoking","Count",0
"2013-2015","S01008597","Not Known If Smoking","Count",0
"2012-2014","S01008597","Current Smoker","Count",0
"2013-2015","S01008597","Current Smoker","Count",2
"2012-2014","S01008597","Current Smoker","Ratio",0
"2012-2014","S01008597","Not Known If Smoking","Ratio",0
"2013-2015","S01008597","Former Smoker","Ratio","31.58"
"2012-2014","S01008597","Former Smoker","Ratio","36.36"
"2013-2015","S01008597","Not Known If Smoking","Ratio",0
"2013-2015","S01008597","Current Smoker","Ratio","10.53"
"2012-2014","S01008597","Never Smoked","Ratio","63.64"
"2013-2015","S01008597","Never Smoked","Ratio","57.89"
"2013-2015","S01008598","Former Smoker","Count",5
"2012-2014","S01008598","Former Smoker","Count",5
"2013-2015","S01008598","Never Smoked","Count",16
"2012-2014","S01008598","Never Smoked","Count",18
"2012-2014","S01008598","Not Known If Smoking","Count",0
"2013-2015","S01008598","Not Known If Smoking","Count",0
"2012-2014","S01008598","Current Smoker","Count",0
"2013-2015","S01008598","Current Smoker","Count",2
"2012-2014","S01008598","Current Smoker","Ratio",0
"2012-2014","S01008598","Not Known If Smoking","Ratio",0
"2013-2015","S01008598","Former Smoker","Ratio","21.74"
"2012-2014","S01008598","Former Smoker","Ratio","21.74"
"2013-2015","S01008598","Not Known If Smoking","Ratio",0
"2013-2015","S01008598","Current Smoker","Ratio","8.7"
"2012-2014","S01008598","Never Smoked","Ratio","78.26"
"2013-2015","S01008598","Never Smoked","Ratio","69.57"
"2013-2015","S01009003","Former Smoker","Count",4
"2012-2014","S01009003","Former Smoker","Count",4
"2013-2015","S01009003","Never Smoked","Count",21
"2012-2014","S01009003","Never Smoked","Count",19
"2012-2014","S01009003","Not Known If Smoking","Count",0
"2013-2015","S01009003","Not Known If Smoking","Count",0
"2012-2014","S01009003","Current Smoker","Count",1
"2013-2015","S01009003","Current Smoker","Count",1
"2012-2014","S01009003","Current Smoker","Ratio","4.17"
"2012-2014","S01009003","Not Known If Smoking","Ratio",0
"2013-2015","S01009003","Former Smoker","Ratio","15.38"
"2012-2014","S01009003","Former Smoker","Ratio","16.67"
"2013-2015","S01009003","Not Known If Smoking","Ratio",0
"2013-2015","S01009003","Current Smoker","Ratio","3.85"
"2012-2014","S01009003","Never Smoked","Ratio","79.17"
"2013-2015","S01009003","Never Smoked","Ratio","80.77"
"2013-2015","S01009004","Former Smoker","Count",1
"2012-2014","S01009004","Former Smoker","Count",1
"2013-2015","S01009004","Never Smoked","Count",9
"2012-2014","S01009004","Never Smoked","Count",10
"2012-2014","S01009004","Not Known If Smoking","Count",1
"2013-2015","S01009004","Not Known If Smoking","Count",0
"2012-2014","S01009004","Current Smoker","Count",5
"2013-2015","S01009004","Current Smoker","Count",5
"2012-2014","S01009004","Current Smoker","Ratio","29.41"
"2012-2014","S01009004","Not Known If Smoking","Ratio","5.88"
"2013-2015","S01009004","Former Smoker","Ratio","6.67"
"2012-2014","S01009004","Former Smoker","Ratio","5.88"
"2013-2015","S01009004","Not Known If Smoking","Ratio",0
"2013-2015","S01009004","Current Smoker","Ratio","33.33"
"2012-2014","S01009004","Never Smoked","Ratio","58.82"
"2013-2015","S01009004","Never Smoked","Ratio",60
"2013-2015","S01009005","Former Smoker","Count",5
"2012-2014","S01009005","Former Smoker","Count",6
"2013-2015","S01009005","Never Smoked","Count",12
"2012-2014","S01009005","Never Smoked","Count",14
"2012-2014","S01009005","Not Known If Smoking","Count",1
"2013-2015","S01009005","Not Known If Smoking","Count",0
"2012-2014","S01009005","Current Smoker","Count",6
"2013-2015","S01009005","Current Smoker","Count",5
"2012-2014","S01009005","Current Smoker","Ratio","22.22"
"2012-2014","S01009005","Not Known If Smoking","Ratio","3.7"
"2013-2015","S01009005","Former Smoker","Ratio","22.73"
"2012-2014","S01009005","Former Smoker","Ratio","22.22"
"2013-2015","S01009005","Not Known If Smoking","Ratio",0
"2013-2015","S01009005","Current Smoker","Ratio","22.73"
"2012-2014","S01009005","Never Smoked","Ratio","51.85"
"2013-2015","S01009005","Never Smoked","Ratio","54.55"
"2013-2015","S01009006","Former Smoker","Count",7
"2012-2014","S01009006","Former Smoker","Count",8
"2013-2015","S01009006","Never Smoked","Count",15
"2012-2014","S01009006","Never Smoked","Count",11
"2012-2014","S01009006","Not Known If Smoking","Count",0
"2013-2015","S01009006","Not Known If Smoking","Count",0
"2012-2014","S01009006","Current Smoker","Count",7
"2013-2015","S01009006","Current Smoker","Count",5
"2012-2014","S01009006","Current Smoker","Ratio","26.92"
"2012-2014","S01009006","Not Known If Smoking","Ratio",0
"2013-2015","S01009006","Former Smoker","Ratio","25.93"
"2012-2014","S01009006","Former Smoker","Ratio","30.77"
"2013-2015","S01009006","Not Known If Smoking","Ratio",0
"2013-2015","S01009006","Current Smoker","Ratio","18.52"
"2012-2014","S01009006","Never Smoked","Ratio","42.31"
"2013-2015","S01009006","Never Smoked","Ratio","55.56"
"2013-2015","S01009007","Former Smoker","Count",5
"2012-2014","S01009007","Former Smoker","Count",3
"2013-2015","S01009007","Never Smoked","Count",16
"2012-2014","S01009007","Never Smoked","Count",15
"2012-2014","S01009007","Not Known If Smoking","Count",1
"2013-2015","S01009007","Not Known If Smoking","Count",1
"2012-2014","S01009007","Current Smoker","Count",1
"2013-2015","S01009007","Current Smoker","Count",2
"2012-2014","S01009007","Current Smoker","Ratio",5
"2012-2014","S01009007","Not Known If Smoking","Ratio",5
"2013-2015","S01009007","Former Smoker","Ratio","20.83"
"2012-2014","S01009007","Former Smoker","Ratio",15
"2013-2015","S01009007","Not Known If Smoking","Ratio","4.17"
"2013-2015","S01009007","Current Smoker","Ratio","8.33"
"2012-2014","S01009007","Never Smoked","Ratio",75
"2013-2015","S01009007","Never Smoked","Ratio","66.67"
"2013-2015","S01009008","Former Smoker","Count",2
"2012-2014","S01009008","Former Smoker","Count",6
"2013-2015","S01009008","Never Smoked","Count",11
"2012-2014","S01009008","Never Smoked","Count",14
"2012-2014","S01009008","Not Known If Smoking","Count",1
"2013-2015","S01009008","Not Known If Smoking","Count",0
"2012-2014","S01009008","Current Smoker","Count",3
"2013-2015","S01009008","Current Smoker","Count",2
"2012-2014","S01009008","Current Smoker","Ratio","12.5"
"2012-2014","S01009008","Not Known If Smoking","Ratio","4.17"
"2013-2015","S01009008","Former Smoker","Ratio","13.33"
"2012-2014","S01009008","Former Smoker","Ratio",25
"2013-2015","S01009008","Not Known If Smoking","Ratio",0
"2013-2015","S01009008","Current Smoker","Ratio","13.33"
"2012-2014","S01009008","Never Smoked","Ratio","58.33"
"2013-2015","S01009008","Never Smoked","Ratio","73.33"
"2013-2015","S01009009","Former Smoker","Count",8
"2012-2014","S01009009","Former Smoker","Count",7
"2013-2015","S01009009","Never Smoked","Count",8
"2012-2014","S01009009","Never Smoked","Count",8
"2012-2014","S01009009","Not Known If Smoking","Count",0
"2013-2015","S01009009","Not Known If Smoking","Count",0
"2012-2014","S01009009","Current Smoker","Count",4
"2013-2015","S01009009","Current Smoker","Count",3
"2012-2014","S01009009","Current Smoker","Ratio","21.05"
"2012-2014","S01009009","Not Known If Smoking","Ratio",0
"2013-2015","S01009009","Former Smoker","Ratio","42.11"
"2012-2014","S01009009","Former Smoker","Ratio","36.84"
"2013-2015","S01009009","Not Known If Smoking","Ratio",0
"2013-2015","S01009009","Current Smoker","Ratio","15.79"
"2012-2014","S01009009","Never Smoked","Ratio","42.11"
"2013-2015","S01009009","Never Smoked","Ratio","42.11"
"2013-2015","S01009010","Former Smoker","Count",8
"2012-2014","S01009010","Former Smoker","Count",7
"2013-2015","S01009010","Never Smoked","Count",25
"2012-2014","S01009010","Never Smoked","Count",16
"2012-2014","S01009010","Not Known If Smoking","Count",0
"2013-2015","S01009010","Not Known If Smoking","Count",0
"2012-2014","S01009010","Current Smoker","Count",5
"2013-2015","S01009010","Current Smoker","Count",2
"2012-2014","S01009010","Current Smoker","Ratio","17.86"
"2012-2014","S01009010","Not Known If Smoking","Ratio",0
"2013-2015","S01009010","Former Smoker","Ratio","22.86"
"2012-2014","S01009010","Former Smoker","Ratio",25
"2013-2015","S01009010","Not Known If Smoking","Ratio",0
"2013-2015","S01009010","Current Smoker","Ratio","5.71"
"2012-2014","S01009010","Never Smoked","Ratio","57.14"
"2013-2015","S01009010","Never Smoked","Ratio","71.43"
"2013-2015","S01009011","Former Smoker","Count",5
"2012-2014","S01009011","Former Smoker","Count",8
"2013-2015","S01009011","Never Smoked","Count",20
"2012-2014","S01009011","Never Smoked","Count",19
"2012-2014","S01009011","Not Known If Smoking","Count",0
"2013-2015","S01009011","Not Known If Smoking","Count",0
"2012-2014","S01009011","Current Smoker","Count",3
"2013-2015","S01009011","Current Smoker","Count",2
"2012-2014","S01009011","Current Smoker","Ratio",10
"2012-2014","S01009011","Not Known If Smoking","Ratio",0
"2013-2015","S01009011","Former Smoker","Ratio","18.52"
"2012-2014","S01009011","Former Smoker","Ratio","26.67"
"2013-2015","S01009011","Not Known If Smoking","Ratio",0
"2013-2015","S01009011","Current Smoker","Ratio","7.41"
"2012-2014","S01009011","Never Smoked","Ratio","63.33"
"2013-2015","S01009011","Never Smoked","Ratio","74.07"
"2013-2015","S01009012","Former Smoker","Count",8
"2012-2014","S01009012","Former Smoker","Count",6
"2013-2015","S01009012","Never Smoked","Count",18
"2012-2014","S01009012","Never Smoked","Count",15
"2012-2014","S01009012","Not Known If Smoking","Count",1
"2013-2015","S01009012","Not Known If Smoking","Count",0
"2012-2014","S01009012","Current Smoker","Count",0
"2013-2015","S01009012","Current Smoker","Count",0
"2012-2014","S01009012","Current Smoker","Ratio",0
"2012-2014","S01009012","Not Known If Smoking","Ratio","4.55"
"2013-2015","S01009012","Former Smoker","Ratio","30.77"
"2012-2014","S01009012","Former Smoker","Ratio","27.27"
"2013-2015","S01009012","Not Known If Smoking","Ratio",0
"2013-2015","S01009012","Current Smoker","Ratio",0
"2012-2014","S01009012","Never Smoked","Ratio","68.18"
"2013-2015","S01009012","Never Smoked","Ratio","69.23"
"2013-2015","S01009013","Former Smoker","Count",5
"2012-2014","S01009013","Former Smoker","Count",4
"2013-2015","S01009013","Never Smoked","Count",15
"2012-2014","S01009013","Never Smoked","Count",7
"2012-2014","S01009013","Not Known If Smoking","Count",0
"2013-2015","S01009013","Not Known If Smoking","Count",0
"2012-2014","S01009013","Current Smoker","Count",3
"2013-2015","S01009013","Current Smoker","Count",1
"2012-2014","S01009013","Current Smoker","Ratio","21.43"
"2012-2014","S01009013","Not Known If Smoking","Ratio",0
"2013-2015","S01009013","Former Smoker","Ratio","23.81"
"2012-2014","S01009013","Former Smoker","Ratio","28.57"
"2013-2015","S01009013","Not Known If Smoking","Ratio",0
"2013-2015","S01009013","Current Smoker","Ratio","4.76"
"2012-2014","S01009013","Never Smoked","Ratio",50
"2013-2015","S01009013","Never Smoked","Ratio","71.43"
"2013-2015","S01008993","Former Smoker","Count",4
"2012-2014","S01008993","Former Smoker","Count",10
"2013-2015","S01008993","Never Smoked","Count",17
"2012-2014","S01008993","Never Smoked","Count",18
"2012-2014","S01008993","Not Known If Smoking","Count",1
"2013-2015","S01008993","Not Known If Smoking","Count",0
"2012-2014","S01008993","Current Smoker","Count",4
"2013-2015","S01008993","Current Smoker","Count",4
"2012-2014","S01008993","Current Smoker","Ratio","12.12"
"2012-2014","S01008993","Not Known If Smoking","Ratio","3.03"
"2013-2015","S01008993","Former Smoker","Ratio",16
"2012-2014","S01008993","Former Smoker","Ratio","30.3"
"2013-2015","S01008993","Not Known If Smoking","Ratio",0
"2013-2015","S01008993","Current Smoker","Ratio",16
"2012-2014","S01008993","Never Smoked","Ratio","54.55"
"2013-2015","S01008993","Never Smoked","Ratio",68
"2013-2015","S01008994","Former Smoker","Count",10
"2012-2014","S01008994","Former Smoker","Count",11
"2013-2015","S01008994","Never Smoked","Count",13
"2012-2014","S01008994","Never Smoked","Count",10
"2012-2014","S01008994","Not Known If Smoking","Count",0
"2013-2015","S01008994","Not Known If Smoking","Count",0
"2012-2014","S01008994","Current Smoker","Count",3
"2013-2015","S01008994","Current Smoker","Count",3
"2012-2014","S01008994","Current Smoker","Ratio","12.5"
"2012-2014","S01008994","Not Known If Smoking","Ratio",0
"2013-2015","S01008994","Former Smoker","Ratio","38.46"
"2012-2014","S01008994","Former Smoker","Ratio","45.83"
"2013-2015","S01008994","Not Known If Smoking","Ratio",0
"2013-2015","S01008994","Current Smoker","Ratio","11.54"
"2012-2014","S01008994","Never Smoked","Ratio","41.67"
"2013-2015","S01008994","Never Smoked","Ratio",50
"2013-2015","S01008995","Former Smoker","Count",3
"2012-2014","S01008995","Former Smoker","Count",6
"2013-2015","S01008995","Never Smoked","Count",16
"2012-2014","S01008995","Never Smoked","Count",16
"2012-2014","S01008995","Not Known If Smoking","Count",0
"2013-2015","S01008995","Not Known If Smoking","Count",0
"2012-2014","S01008995","Current Smoker","Count",0
"2013-2015","S01008995","Current Smoker","Count",0
"2012-2014","S01008995","Current Smoker","Ratio",0
"2012-2014","S01008995","Not Known If Smoking","Ratio",0
"2013-2015","S01008995","Former Smoker","Ratio","15.79"
"2012-2014","S01008995","Former Smoker","Ratio","27.27"
"2013-2015","S01008995","Not Known If Smoking","Ratio",0
"2013-2015","S01008995","Current Smoker","Ratio",0
"2012-2014","S01008995","Never Smoked","Ratio","72.73"
"2013-2015","S01008995","Never Smoked","Ratio","84.21"
"2013-2015","S01008996","Former Smoker","Count",7
"2012-2014","S01008996","Former Smoker","Count",4
"2013-2015","S01008996","Never Smoked","Count",23
"2012-2014","S01008996","Never Smoked","Count",9
"2012-2014","S01008996","Not Known If Smoking","Count",2
"2013-2015","S01008996","Not Known If Smoking","Count",2
"2012-2014","S01008996","Current Smoker","Count",1
"2013-2015","S01008996","Current Smoker","Count",1
"2012-2014","S01008996","Current Smoker","Ratio","6.25"
"2012-2014","S01008996","Not Known If Smoking","Ratio","12.5"
"2013-2015","S01008996","Former Smoker","Ratio","21.21"
"2012-2014","S01008996","Former Smoker","Ratio",25
"2013-2015","S01008996","Not Known If Smoking","Ratio","6.06"
"2013-2015","S01008996","Current Smoker","Ratio","3.03"
"2012-2014","S01008996","Never Smoked","Ratio","56.25"
"2013-2015","S01008996","Never Smoked","Ratio","69.7"
"2013-2015","S01008751","Former Smoker","Count",4
"2012-2014","S01008751","Former Smoker","Count",3
"2013-2015","S01008751","Never Smoked","Count",11
"2012-2014","S01008751","Never Smoked","Count",6
"2012-2014","S01008751","Not Known If Smoking","Count",0
"2013-2015","S01008751","Not Known If Smoking","Count",0
"2012-2014","S01008751","Current Smoker","Count",3
"2013-2015","S01008751","Current Smoker","Count",2
"2012-2014","S01008751","Current Smoker","Ratio",25
"2012-2014","S01008751","Not Known If Smoking","Ratio",0
"2013-2015","S01008751","Former Smoker","Ratio","23.53"
"2012-2014","S01008751","Former Smoker","Ratio",25
"2013-2015","S01008751","Not Known If Smoking","Ratio",0
"2013-2015","S01008751","Current Smoker","Ratio","11.76"
"2012-2014","S01008751","Never Smoked","Ratio",50
"2013-2015","S01008751","Never Smoked","Ratio","64.71"
"2013-2015","S01008752","Former Smoker","Count",8
"2012-2014","S01008752","Former Smoker","Count",11
"2013-2015","S01008752","Never Smoked","Count",23
"2012-2014","S01008752","Never Smoked","Count",23
"2012-2014","S01008752","Not Known If Smoking","Count",0
"2013-2015","S01008752","Not Known If Smoking","Count",0
"2012-2014","S01008752","Current Smoker","Count",13
"2013-2015","S01008752","Current Smoker","Count",8
"2012-2014","S01008752","Current Smoker","Ratio","27.66"
"2012-2014","S01008752","Not Known If Smoking","Ratio",0
"2013-2015","S01008752","Former Smoker","Ratio","20.51"
"2012-2014","S01008752","Former Smoker","Ratio","23.4"
"2013-2015","S01008752","Not Known If Smoking","Ratio",0
"2013-2015","S01008752","Current Smoker","Ratio","20.51"
"2012-2014","S01008752","Never Smoked","Ratio","48.94"
"2013-2015","S01008752","Never Smoked","Ratio","58.97"
"2013-2015","S01008753","Former Smoker","Count",3
"2012-2014","S01008753","Former Smoker","Count",3
"2013-2015","S01008753","Never Smoked","Count",12
"2012-2014","S01008753","Never Smoked","Count",8
"2012-2014","S01008753","Not Known If Smoking","Count",0
"2013-2015","S01008753","Not Known If Smoking","Count",0
"2012-2014","S01008753","Current Smoker","Count",1
"2013-2015","S01008753","Current Smoker","Count",3
"2012-2014","S01008753","Current Smoker","Ratio","8.33"
"2012-2014","S01008753","Not Known If Smoking","Ratio",0
"2013-2015","S01008753","Former Smoker","Ratio","16.67"
"2012-2014","S01008753","Former Smoker","Ratio",25
"2013-2015","S01008753","Not Known If Smoking","Ratio",0
"2013-2015","S01008753","Current Smoker","Ratio","16.67"
"2012-2014","S01008753","Never Smoked","Ratio","66.67"
"2013-2015","S01008753","Never Smoked","Ratio","66.67"
"2013-2015","S01008754","Former Smoker","Count",10
"2012-2014","S01008754","Former Smoker","Count",11
"2013-2015","S01008754","Never Smoked","Count",14
"2012-2014","S01008754","Never Smoked","Count",15
"2012-2014","S01008754","Not Known If Smoking","Count",0
"2013-2015","S01008754","Not Known If Smoking","Count",0
"2012-2014","S01008754","Current Smoker","Count",4
"2013-2015","S01008754","Current Smoker","Count",3
"2012-2014","S01008754","Current Smoker","Ratio","13.33"
"2012-2014","S01008754","Not Known If Smoking","Ratio",0
"2013-2015","S01008754","Former Smoker","Ratio","37.04"
"2012-2014","S01008754","Former Smoker","Ratio","36.67"
"2013-2015","S01008754","Not Known If Smoking","Ratio",0
"2013-2015","S01008754","Current Smoker","Ratio","11.11"
"2012-2014","S01008754","Never Smoked","Ratio",50
"2013-2015","S01008754","Never Smoked","Ratio","51.85"
"2013-2015","S01008755","Former Smoker","Count",10
"2012-2014","S01008755","Former Smoker","Count",13
"2013-2015","S01008755","Never Smoked","Count",30
"2012-2014","S01008755","Never Smoked","Count",27
"2012-2014","S01008755","Not Known If Smoking","Count",1
"2013-2015","S01008755","Not Known If Smoking","Count",1
"2012-2014","S01008755","Current Smoker","Count",12
"2013-2015","S01008755","Current Smoker","Count",12
"2012-2014","S01008755","Current Smoker","Ratio","22.64"
"2012-2014","S01008755","Not Known If Smoking","Ratio","1.89"
"2013-2015","S01008755","Former Smoker","Ratio","18.87"
"2012-2014","S01008755","Former Smoker","Ratio","24.53"
"2013-2015","S01008755","Not Known If Smoking","Ratio","1.89"
"2013-2015","S01008755","Current Smoker","Ratio","22.64"
"2012-2014","S01008755","Never Smoked","Ratio","50.94"
"2013-2015","S01008755","Never Smoked","Ratio","56.6"
"2013-2015","S01008756","Former Smoker","Count",6
"2012-2014","S01008756","Former Smoker","Count",7
"2013-2015","S01008756","Never Smoked","Count",14
"2012-2014","S01008756","Never Smoked","Count",11
"2012-2014","S01008756","Not Known If Smoking","Count",0
"2013-2015","S01008756","Not Known If Smoking","Count",0
"2012-2014","S01008756","Current Smoker","Count",7
"2013-2015","S01008756","Current Smoker","Count",6
"2012-2014","S01008756","Current Smoker","Ratio",28
"2012-2014","S01008756","Not Known If Smoking","Ratio",0
"2013-2015","S01008756","Former Smoker","Ratio","23.08"
"2012-2014","S01008756","Former Smoker","Ratio",28
"2013-2015","S01008756","Not Known If Smoking","Ratio",0
"2013-2015","S01008756","Current Smoker","Ratio","23.08"
"2012-2014","S01008756","Never Smoked","Ratio",44
"2013-2015","S01008756","Never Smoked","Ratio","53.85"
"2013-2015","S01008757","Former Smoker","Count",2
"2012-2014","S01008757","Former Smoker","Count",4
"2013-2015","S01008757","Never Smoked","Count",11
"2012-2014","S01008757","Never Smoked","Count",9
"2012-2014","S01008757","Not Known If Smoking","Count",0
"2013-2015","S01008757","Not Known If Smoking","Count",0
"2012-2014","S01008757","Current Smoker","Count",2
"2013-2015","S01008757","Current Smoker","Count",3
"2012-2014","S01008757","Current Smoker","Ratio","13.33"
"2012-2014","S01008757","Not Known If Smoking","Ratio",0
"2013-2015","S01008757","Former Smoker","Ratio","12.5"
"2012-2014","S01008757","Former Smoker","Ratio","26.67"
"2013-2015","S01008757","Not Known If Smoking","Ratio",0
"2013-2015","S01008757","Current Smoker","Ratio","18.75"
"2012-2014","S01008757","Never Smoked","Ratio",60
"2013-2015","S01008757","Never Smoked","Ratio","68.75"
"2013-2015","S01008758","Former Smoker","Count",12
"2012-2014","S01008758","Former Smoker","Count",8
"2013-2015","S01008758","Never Smoked","Count",18
"2012-2014","S01008758","Never Smoked","Count",16
"2012-2014","S01008758","Not Known If Smoking","Count",1
"2013-2015","S01008758","Not Known If Smoking","Count",1
"2012-2014","S01008758","Current Smoker","Count",6
"2013-2015","S01008758","Current Smoker","Count",8
